elapsedTime,eventRecognized,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
23250,0,1470.3524,102.1803,2151.6418,66.20576,0.0029669846,0.0037629213,0,58.813705
23266,0,1396.9333,100.472084,2149.7024,66.143555,0.0030049132,0.0037724306,0,58.771946
23282,0,1323.5143,98.76387,2147.7083,66.079605,0.0029978014,0.0037836132,0,59.02298
23298,0,1363.3,99.68955,2145.7896,66.01807,0.003268238,0.0037937849,0,59.327038
23315,0,1378.0691,100.03317,2143.8076,65.95451,0.0032175311,0.0038028,0,58.84021
23332,0,1375.5072,99.97357,2141.9917,65.89627,0.0032773148,0.0038130283,0,58.86709
23349,0,1378.9928,100.054665,2140.3252,65.84283,0.0031027633,0.0038232575,0,58.988358
23366,0,1337.5381,99.09016,2138.7178,65.791275,0.0031354916,0.003833098,0,58.99357
23383,0,1366.2167,99.75741,2137.2979,65.745735,0.0031293551,0.0038452914,0,59.319824
23401,0,1411.4404,100.809616,2135.724,65.69527,0.0017493928,0.0038550026,0,59.368145
23416,0,1409.6952,100.76901,2134.1982,65.64633,0.002008136,0.003862365,0,59.726044
23433,0,1443.7405,101.56113,2132.878,65.60399,0.0010041678,0.0038655514,0,60.04008
23449,0,1468.3547,102.13382,2131.7893,65.56908,0.0011924119,0.0038660585,0,60.11926
23465,0,1527.4191,103.50805,2130.9004,65.54057,0.0012899346,0.0038646688,0,60.533707
23480,0,1526.1904,103.47946,2130.5002,65.52773,0.0014050768,0.003862259,0,60.665527
23497,0,1523.219,103.410324,2130.2058,65.518295,0.0013834876,0.0038602767,0,60.058655
23513,0,1609.8143,105.42511,2130.4067,65.52474,0.0019034033,0.0038557004,0,60.5923
23529,0,1696.7715,107.44832,2131.4387,65.55784,0.0020690756,0.0038448302,0,60.67224
23545,0,1731.4261,108.25461,2132.9707,65.60697,0.0018062887,0.0038306988,0,60.624603
23562,0,1665.3452,106.71713,2133.9197,65.6374,0.002149278,0.0038123918,0,60.595856
23577,0,1599.2643,105.17965,2134.4692,65.65503,0.0020849677,0.0038015142,0,61.070137
23594,0,1534.2072,103.665985,2134.8174,65.66619,0.0020970257,0.0037966114,0,61.153812
23610,0,1470.8928,102.19287,2134.7175,65.66299,0.0018469805,0.0037896002,0,61.05925
23627,0,1407.5786,100.719765,2134.2642,65.648445,0.001893864,0.0037822425,0,60.79448
23644,0,1350.4714,99.39107,2133.9202,65.63742,9.58065E-4,0.003772007,0,60.474133
