elapsedTime,eventRecognized,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
27423,0,291.05237,158.84601,291.05237,158.84601,0.006852823,0.006852823,0,59.482525
27438,0,291.12518,158.8859,291.12518,158.8859,0.0068545435,0.0068545435,0,59.772053
27454,0,291.35175,159.00996,291.35175,159.00996,0.0068598976,0.0068598976,0,59.939995
27471,0,291.72357,159.21358,291.72357,159.21358,0.006868686,0.006868686,0,59.712368
27488,0,292.2261,159.4888,292.2261,159.4888,0.006880563,0.006880563,0,59.80871
27507,0,292.8159,159.81178,292.8159,159.81178,0.0068945023,0.0068945023,0,59.90739
27520,0,293.54965,160.21361,293.54965,160.21361,0.006911845,0.006911845,0,60.198967
27537,0,294.3218,160.63647,294.3218,160.63647,0.0069300947,0.0069300947,0,60.1361
27553,0,295.1313,161.07977,295.1313,161.07977,0.006949226,0.006949226,0,60.264362
27570,0,295.95813,161.53256,295.95813,161.53256,0.0069687683,0.0069687683,0,59.965763
27587,0,296.74228,161.962,296.74228,161.962,0.0069873016,0.0069873016,0,60.07833
27607,0,297.5857,162.42387,297.5857,162.42387,0.007007235,0.007007235,0,59.963375
27620,0,298.33658,162.8351,298.33658,162.8351,0.0070249825,0.0070249825,0,60.13681
27637,0,298.97113,163.18259,298.97113,163.18259,0.0070399796,0.0070399796,0,60.140934
27657,0,299.2007,163.30832,299.2007,163.30832,0.007045406,0.007045406,0,59.953983
27671,0,298.98257,163.18887,298.98257,163.18887,0.00704025,0.00704025,0,59.926086
27691,0,298.44485,162.8944,298.44485,162.8944,0.0070275413,0.0070275413,0,59.86343
27704,0,297.53302,162.39503,297.53302,162.39503,0.00700599,0.00700599,0,60.085915
27720,0,296.37518,161.76097,296.37518,161.76097,0.006978625,0.006978625,0,60.115845
27737,0,295.14374,161.08658,295.14374,161.08658,0.0069495207,0.0069495207,0,60.092133
27754,0,293.9899,160.45471,293.9899,160.45471,0.00692225,0.00692225,0,59.97606
27770,0,292.91638,159.86682,292.91638,159.86682,0.0068968777,0.0068968777,0,60.038532
27787,0,292.07642,159.40681,292.07642,159.40681,0.0068770256,0.0068770256,0,60.061386
27803,0,291.5193,159.10172,291.5193,159.10172,0.006863858,0.006863858,0,60.060772
27821,0,291.4216,159.04822,291.4216,159.04822,0.0068615493,0.0068615493,0,59.97101
27840,0,291.82382,159.26848,291.82382,159.26848,0.006871056,0.006871056,0,59.94262
27857,0,292.37476,159.5702,292.37476,159.5702,0.0068840766,0.0068840766,0,59.949936
27874,0,293.0662,159.94885,293.0662,159.94885,0.006900418,0.006900418,0,60.05438
27887,0,293.68787,160.2893,293.68787,160.2893,0.0069151116,0.0069151116,0,60.092148
27904,0,294.42563,160.69333,294.42563,160.69333,0.0069325482,0.0069325482,0,60.02593
27920,0,295.01248,161.01471,295.01248,161.01471,0.006946418,0.006946418,0,60.066406
27937,0,295.5682,161.31903,295.5682,161.31903,0.0069595524,0.0069595524,0,60.01599
27953,0,296.01062,161.56133,296.01062,161.56133,0.006970009,0.006970009,0,60.10107
27970,0,296.05136,161.58362,296.05136,161.58362,0.006970972,0.006970972,0,60.123573
27990,0,296.01678,161.5647,296.01678,161.5647,0.0069701546,0.0069701546,0,59.827305
28004,0,295.57425,161.32236,295.57425,161.32236,0.006959696,0.006959696,0,60.03946
28020,0,294.8204,160.90953,294.8204,160.90953,0.0069418787,0.0069418787,0,60.08756
28037,0,293.82117,160.3623,293.82117,160.3623,0.006918262,0.006918262,0,60.08269
28056,0,292.30872,159.53403,292.30872,159.53403,0.006882516,0.006882516,0,60.02797
28070,0,291.00305,158.819,291.00305,158.819,0.006851657,0.006851657,0,60.041336
28087,0,289.6632,158.08525,289.6632,158.08525,0.00681999,0.00681999,0,60.114803
28104,0,288.39243,157.38933,288.39243,157.38933,0.006789956,0.006789956,0,60.160076
28120,0,287.3264,156.80553,287.3264,156.80553,0.00676476,0.00676476,0,60.078674
