elapsedTime,eventRecognized_tap,eventRecognized_hold,frq_rt, col_rt, frq_m, col_m, amp_rt,orbitSpeed,amp_m,shape_m_value, framerate
1029463,0,0,1489.4952,88.20628,2967.7834,51.563866,7.5808214E-4,0.0014799528,0.0033378324,0.21345757,58.595318
1029479,0,0,1567.6357,89.22132,2961.0437,51.44319,9.7609905E-4,0.0016179825,0.0033382487,0.21348418,58.955112
1029495,0,0,1610.9857,89.78443,2954.3806,51.323887,0.0011666832,0.001738644,0.0033389386,0.2135283,59.496754
1029511,0,0,1689.3334,90.80216,2948.0337,51.210243,0.0011366003,0.0017195981,0.0033395654,0.21356839,59.496616
1029528,0,0,1716.7953,91.15889,2941.9548,51.101402,0.0011422408,0.0017231691,0.0033408562,0.21365093,59.602882
1029543,0,0,1743.2524,91.50256,2936.0916,50.99642,0.001593818,0.002009069,0.0033433232,0.21380872,60.01715
1029561,0,0,1832.131,92.65709,2930.3076,50.89286,0.0017726079,0.002122264,0.0033470227,0.21404529,59.58898
1029578,0,0,1870.1548,93.15101,2924.5908,50.790504,0.0017390847,0.0021010397,0.003351545,0.2143345,59.51184
1029594,0,0,1893.7953,93.4581,2919.1511,50.693104,0.0015932526,0.0020087112,0.0033551545,0.21456532,60.01176
1029611,0,0,1958.5048,94.29867,2913.8938,50.59897,0.0014425,0.0019132677,0.0033575606,0.21471919,59.77796
1029628,0,0,1993.2738,94.75031,2908.8943,50.509453,0.0014707661,0.0019311632,0.003359708,0.21485654,60.12147
1029645,0,0,2062.5405,95.65008,2904.634,50.433174,0.0011406408,0.0017221562,0.0033605257,0.21490884,59.757393
1029662,0,0,2097.5881,96.10535,2900.633,50.36154,0.0010441656,0.0016610763,0.00336009,0.21488097,59.568687
1029679,0,0,2176.755,97.13371,2897.048,50.29735,0.0010622547,0.0016725288,0.0033586295,0.21478756,59.449493
1029698,0,0,2198.5762,97.41717,2893.9521,50.241917,9.553804E-4,0.0016048651,0.00335811,0.21475434,59.174744
1029715,0,0,2284.2048,98.52947,2891.152,50.19178,0.0012493007,0.0017909503,0.003359342,0.21483311,59.380398
1029732,0,0,2359.2666,99.50452,2889.0938,50.154926,0.0012909579,0.0018173242,0.0033610323,0.21494122,58.96028
1029748,0,0,2391.3381,99.92112,2887.6396,50.12889,0.0012831473,0.0018123791,0.0033631742,0.2150782,58.82473
1029764,0,0,2478.0952,101.04808,2886.624,50.110706,9.857959E-4,0.0016241216,0.00336461,0.21517001,59.512596
1029780,0,0,2554.2834,102.037766,2886.1282,50.10183,0.0010415493,0.0016594199,0.0033644119,0.21515734,59.83042
1029795,0,0,2583.5334,102.41771,2886.1196,50.101677,9.99172E-4,0.0016325903,0.0033644827,0.21516187,60.140297
1029811,0,0,2671.3142,103.557976,2886.3086,50.105057,0.0010549878,0.0016679281,0.0033658487,0.21524923,60.27042
1029828,0,0,2748.4263,104.559654,2886.797,50.113804,0.0010445223,0.0016613022,0.0033675565,0.21535845,60.328243
1029844,0,0,2775.2952,104.908676,2887.772,50.13126,0.0013493667,0.0018543035,0.003368389,0.2154117,60.784462
1029860,0,0,2860.562,106.01628,2889.1619,50.156147,0.0013004182,0.0018233135,0.0033688035,0.21543819,60.586205
1029878,0,0,2884.3,106.32464,2890.952,50.188198,0.001309596,0.001829124,0.003370717,0.21556056,60.58185
1029894,0,0,2973.3096,107.480865,2892.9277,50.22357,0.0010478268,0.0016633943,0.003372392,0.21566767,60.554214
1029911,0,0,3053.2905,108.519806,2895.326,50.266514,0.0011092204,0.0017022635,0.0033733945,0.21573178,60.502956
1029928,0,0,3090.6143,109.00464,2897.8953,50.31252,0.0010977092,0.0016949755,0.0033742168,0.21578439,60.30207
1029945,0,0,3176.6523,110.12226,2900.7852,50.36426,0.0011309758,0.0017160372,0.003374921,0.2158294,60.187912
1029962,0,0,3201.1619,110.440636,2903.9688,50.421265,0.0011247382,0.001712088,0.0033759684,0.2158964,59.756897
1029978,0,0,3290.1714,111.59686,2907.2231,50.479534,0.0013947241,0.00188302,0.0033779324,0.21602198,59.877556
1029994,0,0,3362.7166,112.539215,2910.8855,50.54511,0.0012667584,0.001802003,0.0033800746,0.216159,60.43303
1030010,0,0,3357.181,112.4673,2914.7166,50.6137,0.0012191861,0.0017718844,0.0033818132,0.21627018,60.578674
1030028,0,0,3354.1047,112.427345,2918.6511,50.68415,0.001228106,0.0017775316,0.00338291,0.21634033,60.29875
1030044,0,0,3352.1572,112.40205,2922.5789,50.75448,0.0010579372,0.0016697954,0.00338316,0.2163563,60.524044
1030061,0,0,3398.9143,113.009415,2926.2864,50.820858,0.0010898438,0.0016899959,0.0033839657,0.21640784,60.137836
1030078,0,0,3396.9143,112.98344,2930.0718,50.888638,0.0011176998,0.0017076319,0.003385269,0.2164912,59.946842
