elapsedTime,eventRecognized_tap,eventRecognized_hold,frq_rt, col_rt, frq_m, col_m, amp_rt,orbitSpeed,amp_m,shape_m_value, framerate
634729,0,0,8957.963,185.22081,8957.963,158.81787,0.08039082,0.051896583,0.08039082,5.1410694,59.87529
634744,0,0,8960.1875,185.2497,8960.1875,158.8577,0.08041099,0.051909354,0.08041099,5.1423593,60.529278
634761,0,0,8967.11,185.33963,8967.11,158.98166,0.08047374,0.051949084,0.08047374,5.1463723,60.425354
634778,0,0,8978.473,185.48723,8978.473,159.1851,0.08057675,0.0520143,0.08057675,5.15296,60.318222
634793,0,0,8993.829,185.6867,8993.829,159.46005,0.080715954,0.052102435,0.080715954,5.1618624,60.662186
634812,0,0,9011.852,185.9208,9011.852,159.78275,0.08087933,0.05220587,0.08087933,5.1723104,59.904415
634831,0,0,9034.274,186.2121,9034.274,160.18423,0.08108259,0.05233456,0.08108259,5.185309,59.754097
634847,0,0,9057.87,186.51859,9057.87,160.6067,0.08129649,0.052469976,0.08129649,5.198988,59.694473
634863,0,0,9082.606,186.83992,9082.606,161.04962,0.08152072,0.052611947,0.08152072,5.213328,59.807236
634879,0,0,9107.873,187.16812,9107.873,161.502,0.08174976,0.052756954,0.08174976,5.2279754,59.82741
634895,0,0,9131.835,187.47939,9131.835,161.93105,0.08196698,0.052894477,0.08196698,5.2418666,60.09187
634911,0,0,9157.608,187.81418,9157.608,162.39252,0.08220062,0.053042397,0.08220062,5.256808,60.290054
634928,0,0,9180.555,188.11224,9180.555,162.80338,0.08240862,0.053174086,0.08240862,5.2701097,60.35081
634944,0,0,9199.944,188.3641,9199.944,163.15054,0.082584396,0.053285368,0.082584396,5.2813506,60.38581
634962,0,0,9206.961,188.45526,9206.961,163.27617,0.082647994,0.05332564,0.082647994,5.285418,60.093212
634978,0,0,9200.295,188.36867,9200.295,163.15681,0.08258757,0.05328738,0.08258757,5.2815537,60.54854
634994,0,0,9183.862,188.15521,9183.862,162.8626,0.08243861,0.053193074,0.08243861,5.272028,60.499485
635011,0,0,9155.998,187.79327,9155.998,162.3637,0.08218602,0.053033154,0.08218602,5.2558746,60.30839
635029,0,0,9120.617,187.33366,9120.617,161.7302,0.08186529,0.052830093,0.08186529,5.235363,59.65509
635045,0,0,9082.986,186.84485,9082.986,161.05641,0.08152417,0.05261413,0.08152417,5.2135487,59.752853
635062,0,0,9047.728,186.38684,9047.728,160.42511,0.08120455,0.05241177,0.08120455,5.1931086,59.894333
635079,0,0,9014.923,185.96072,9014.923,159.83774,0.080907166,0.052223492,0.080907166,5.1740904,59.898876
635095,0,0,8989.256,185.6273,8989.256,159.37817,0.08067449,0.052076183,0.08067449,5.1592107,59.96907
635112,0,0,8972.23,185.40613,8972.23,159.07333,0.08052016,0.051978476,0.08052016,5.149341,59.968037
635128,0,0,8969.245,185.36737,8969.245,159.01988,0.0804931,0.05196134,0.0804931,5.14761,60.011276
635145,0,0,8981.537,185.52704,8981.537,159.23997,0.08060452,0.052031886,0.08060452,5.154736,60.192165
635162,0,0,8998.371,185.74571,8998.371,159.54138,0.08075713,0.052128505,0.08075713,5.1644955,60.064648
635178,0,0,9019.501,186.02017,9019.501,159.91971,0.080948666,0.052249767,0.080948666,5.1767445,60.05623
635194,0,0,9038.498,186.26695,9038.498,160.25986,0.08112088,0.0523588,0.08112088,5.1877575,60.17034
635211,0,0,9061.042,186.55978,9061.042,160.6635,0.08132524,0.05248818,0.08132524,5.2008266,60.167423
635228,0,0,9078.976,186.79276,9078.976,160.98459,0.081487805,0.052591104,0.081487805,5.2112226,60.201347
635244,0,0,9095.958,187.01335,9095.958,161.28867,0.08164175,0.05268857,0.08164175,5.2210674,60.594204
635262,0,0,9109.478,187.18896,9109.478,161.53073,0.0817643,0.05276616,0.0817643,5.228905,60.550133
635279,0,0,9110.722,187.20512,9110.722,161.55301,0.08177559,0.052773304,0.08177559,5.2296267,59.754025
635295,0,0,9109.665,187.1914,9109.665,161.53409,0.08176601,0.05276724,0.08176601,5.2290144,60.346027
635311,0,0,9096.143,187.01575,9096.143,161.29198,0.081643425,0.05268963,0.081643425,5.221175,60.26886
635328,0,0,9073.106,186.7165,9073.106,160.8795,0.0814346,0.05255742,0.0814346,5.2078204,60.124386
635345,0,0,9042.571,186.31985,9042.571,160.33278,0.0811578,0.05238218,0.0811578,5.1901193,60.433704
635362,0,0,8996.3545,185.71951,8996.3545,159.50528,0.08073884,0.052116923,0.08073884,5.163326,60.194874
635379,0,0,8956.455,185.20123,8956.455,158.79088,0.080377154,0.051887933,0.080377154,5.1401954,59.802338
635395,0,0,8915.512,184.66937,8915.512,158.05779,0.080006,0.051652957,0.080006,5.1164603,60.113228
635411,0,0,8876.68,184.16495,8876.68,157.36249,0.079653986,0.051430084,0.079653986,5.0939484,60.018745
635428,0,0,8844.103,183.74178,8844.103,156.7792,0.079358675,0.051243123,0.079358675,5.075063,60.070305
635461,0,0,8809.221,183.28867,8809.221,156.15465,0.07904247,0.05104293,0.07904247,5.0548415,57.194927
635477,0,0,8784.826,182.97179,8784.826,155.71786,0.07882134,0.050902925,0.07882134,5.0407,57.39889
635495,0,0,8762.158,182.67734,8762.158,155.312,0.078615844,0.050772823,0.078615844,5.0275583,57.429897
635513,0,0,8745.678,182.46326,8745.678,155.0169,0.07846645,0.05067824,0.07846645,5.0180044,57.383327
635529,0,0,8736.484,182.34383,8736.484,154.8523,0.07838312,0.05062548,0.07838312,5.012675,57.585594
635544,0,0,8728.863,182.24483,8728.863,154.71584,0.07831403,0.050581742,0.07831403,5.008257,58.427174
635561,0,0,8731.228,182.27554,8731.228,154.7582,0.078335464,0.05059531,0.078335464,5.0096273,58.5529
635578,0,0,8736.449,182.34338,8736.449,154.85168,0.0783828,0.05062528,0.0783828,5.012655,58.48313
635593,0,0,8744.255,182.44476,8744.255,154.99144,0.078453556,0.05067008,0.078453556,5.01718,59.1237
635610,0,0,8744.683,182.45032,8744.683,154.9991,0.07845743,0.050672527,0.07845743,5.0174274,59.141018
635627,0,0,8736.513,182.34421,8736.513,154.85281,0.07838337,0.05062564,0.07838337,5.012691,59.22428
