elapsedTime,eventRecognized,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
2462,0,0.5001852,231.81818,0.49029556,227.23468,2.8805545E-4,0.48154247,226,47.979607
2663,0,0.5001852,231.81818,0.48958233,226.90411,1.4329255E-4,0.48093683,226,43.59643
2791,0,0.5001852,231.81818,0.49008107,227.13525,9.3844574E-5,0.48062712,226,39.73164
2911,0,0.5001852,231.81818,0.490141,227.16304,2.2580297E-4,0.47943294,225,36.53672
3034,0,0.5001852,231.81818,0.49047515,227.3179,9.708796E-5,0.47942024,225,33.718174
3149,0,0.5001852,231.81818,0.4893743,226.80771,1.16517505E-4,0.4787936,225,31.167614
3267,0,0.5001852,231.81818,0.48901454,226.64096,1.4476845E-4,0.4771869,224,28.922415
3384,0,0.5001852,231.81818,0.4880587,226.19795,9.625836E-5,0.47565776,224,26.874155
3505,0,0.5001852,231.81818,0.48805234,226.19502,1.0924287E-4,0.4753105,223,25.040947
3621,0,0.5001852,231.81818,0.48736346,225.87575,1.08997076E-4,0.47462648,223,23.357037
3732,0,0.5001852,231.81818,0.48639965,225.42906,1.2728495E-4,0.4729821,222,21.889128
3839,0,0.5001852,231.81818,0.4863789,225.41943,1.0145955E-4,0.47168636,222,20.603428
3946,0,0.5001852,231.81818,0.48556596,225.04266,1.2832676E-4,0.47112206,222,19.480272
4055,0,0.5001852,231.81818,0.4864217,225.43927,1.2311884E-4,0.47066993,221,18.468296
4170,0,0.5001852,231.81818,0.48605075,225.26735,1.4343506E-4,0.46920305,221,17.536839
4289,0,0.5001852,231.81818,0.485257,224.89948,1.2349998E-4,0.46842378,220,16.652891
4396,0,0.5001852,231.81818,0.48519886,224.87253,1.3537772E-4,0.46728927,220,15.809442
4498,0,0.5001852,231.81818,0.48444784,224.52446,1.1709919E-4,0.46664765,219,15.182443
4625,0,0.5001852,231.81818,0.4842733,224.44357,1.261101E-4,0.46542212,219,14.637144
4731,0,0.5001852,231.81818,0.48453897,224.5667,1.241123E-4,0.4640698,218,13.96413
4831,0,0.5001852,231.81818,0.48563296,225.07372,9.4073446E-5,0.4619866,217,13.514957
4942,0,0.5001852,231.81818,0.48479545,224.68556,1.0491452E-4,0.4614966,217,13.156185
5050,0,0.5001852,231.81818,0.483747,224.19965,8.678125E-5,0.46103665,217,12.735868
5153,0,0.5001852,231.81818,0.4837197,224.187,9.724487E-5,0.45895603,216,12.401693
5269,0,0.5001852,231.81818,0.4846034,224.59656,1.2805173E-4,0.4576822,215,12.130267
5369,0,0.5001852,231.81818,0.4843075,224.45941,8.567914E-5,0.45570028,215,11.775387
