elapsedTime,eventRecognized,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
17397,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,20.899153
17440,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,21.132998
17482,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,21.386507
17525,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,21.595741
17570,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,21.76344
17615,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,21.71367
17657,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,21.879166
17699,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.059856
17744,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.221378
17786,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.254093
17828,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.405455
17870,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.55608
17913,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.641197
17959,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.72542
18005,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.459057
18047,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.602251
18090,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.69481
18134,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.799822
18178,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.75993
18223,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.750755
18267,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.667097
18309,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.748043
18355,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.818647
18400,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.533207
18442,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.706818
18485,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.77943
18527,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.88665
18569,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.997475
18612,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,23.03072
18654,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,23.073328
18697,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,23.12656
18743,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,23.169662
18795,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.456284
18845,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.236616
18891,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.649921
18935,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.618898
18978,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.605791
19024,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.572435
19069,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.555225
19127,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.593237
19173,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.051044
19219,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,21.938871
19261,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,21.974401
19303,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.168823
19345,0,680.5357,55.067463,428.33188,34.659676,1.5392152E-4,0.26263857,128,22.35341
