elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
2540,0.55564773,162.38037,0.50927645,85.08515,1.3685082E-4,0.4729855,50,8.1893635;
2664,0.55564773,162.38037,0.50878274,84.26221,1.0760125E-4,0.47117162,50,8.1923895;
2790,0.55564773,162.38037,0.50778645,82.6015,1.14486356E-4,0.47044873,50,8.180729;
2912,0.55564773,162.38037,0.50763404,82.34746,1.0842062E-4,0.46972993,50,8.144177;
3084,0.55564773,162.38037,0.50884235,84.36156,1.2766053E-4,0.46796843,50,8.157896;
3232,0.55564773,162.38037,0.5085753,83.91645,9.492792E-5,0.46630526,50,7.923894;
3365,0.55564773,162.38037,0.5082443,83.36464,1.1078973E-4,0.4660115,50,7.8080115;
3480,4.0699706,229.1749,0.5131096,3.4821506,0.0018674944,0.4637189,50,7.779246;
3588,8.403956,230.60916,0.5278822,2.0214672,0.0013465734,0.46344373,50,7.8659844;
3703,8.607031,230.63913,0.5463327,2.4935596,2.538873E-4,0.4626387,50,8.011911;
3807,9.6714115,230.77473,0.56752765,2.737678,5.7171413E-4,0.46157536,50,8.075562;
3911,15.189841,231.16449,0.59695774,2.1768506,7.9453446E-4,0.460448,50,8.245336;
4021,21.732048,231.36513,0.64040506,1.98124,7.6118927E-4,0.4598937,50,8.369821;
4146,27.453371,231.461,0.69664335,2.0441818,6.485265E-4,0.45904934,50,8.443414;
4259,27.453371,231.461,0.76112765,2.5970814,7.495147E-5,0.45853966,50,8.399279;
4366,36.857487,231.55318,0.8371679,2.410595,6.757494E-4,0.456302,50,8.448503;
4487,45.03803,231.60176,0.932378,2.4632928,6.018468E-4,0.45466375,50,8.535098;
4599,45.03803,231.60176,1.0395004,3.0198169,1.683268E-4,0.45456004,50,8.502191;
4713,46.91857,231.61052,1.147499,3.4360816,9.1027806E-4,0.45367202,50,8.5496855;
4822,47.52615,231.61319,1.2585195,3.938079,3.4617764E-4,0.45307896,50,8.561026;
4926,47.52615,231.61319,1.37064,4.489805,8.288051E-5,0.45147446,50,8.633153;
5035,56.929314,231.64731,1.4935267,4.2468333,8.3489594E-4,0.4507013,50,8.733926;
5141,59.377293,231.65437,1.6299871,4.607036,4.2562533E-4,0.44941396,50,8.779274;
5246,59.377293,231.65437,1.7694902,5.1555257,2.5395356E-4,0.44722068,50,8.829495;
5345,63.054256,231.664,1.9136999,5.386597,0.0010411986,0.44715405,50,8.918385;
5447,90.87978,231.71143,2.0957386,4.1962237,0.0011824258,0.44608906,50,9.044713;
5546,99.260284,231.72047,2.3199499,4.3662877,0.0011795729,0.44403738,50,9.09858;
5641,100.89771,231.72208,2.5559244,4.8395476,1.7245166E-4,0.44192484,50,9.200553;
5742,107.233406,231.72777,2.8027043,5.088068,7.6331553E-4,0.44020167,50,9.344986;
5837,110.09403,231.73012,3.0597377,5.4986353,4.819832E-4,0.4393575,50,9.405703;
5937,111.11358,231.73094,3.321335,5.995821,3.829681E-4,0.43890166,50,9.511399;
6028,122.98043,231.73941,3.5980177,5.9386144,8.9115126E-4,0.43705153,50,9.5641165;
6127,134.84683,231.74634,3.9049108,5.943624,6.1811856E-4,0.4359139,50,9.697843;
6222,134.84683,231.74634,4.2253084,6.4961333,9.4665564E-5,0.4341346,50,9.743976;
6315,134.84683,231.74634,4.5446215,7.0467725,1.4167925E-4,0.43318662,50,9.78685;
6409,134.84683,231.74634,4.8641477,7.5977793,1.2205572E-4,0.4315605,50,9.893465;
6534,134.84683,231.74634,5.1850605,8.151177,1.21770936E-4,0.4310832,50,9.98231;
6622,134.84683,231.74634,5.5058084,8.70429,2.7625973E-4,0.42972916,50,9.794157;
6725,138.9378,231.74846,5.831393,8.992098,4.307236E-4,0.42841858,50,9.949228;
6816,138.9378,231.74846,6.161483,9.54451,2.0545945E-4,0.42645064,50,9.912264;
6903,138.9378,231.74846,6.491951,10.097555,2.7396213E-4,0.42600134,50,10.039484;
6996,139.39153,231.74869,6.821129,10.613676,3.6295358E-4,0.42530468,50,10.184866;
