elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
2894,1.5776939,216.48732,0.5295752,-39.366028,3.2468542E-4,0.5147314,50,7.9282246;
3113,1.5776939,216.48732,0.5314458,-38.90941,8.3949235E-5,0.513807,50,7.606754;
3346,1.5776939,216.48732,0.534298,-38.213165,9.930717E-5,0.51272416,50,7.3015237;
3586,1.5776939,216.48732,0.5374913,-37.433655,1.222833E-4,0.5125339,50,6.998339;
3730,1.5776939,216.48732,0.5394744,-36.949562,1.1500847E-4,0.51137763,50,6.710569;
3873,1.5776939,216.48732,0.5421276,-36.301903,1.4748903E-4,0.5099097,50,6.7545404;
4017,1.5776939,216.48732,0.5445856,-35.701893,9.804951E-5,0.5075806,50,6.777606;
4147,1.5776939,216.48732,0.54674923,-35.17373,9.665299E-5,0.50540954,50,6.7973294;
4267,1.5776939,216.48732,0.5492717,-34.557976,9.5294934E-5,0.5030847,50,6.879583;
4396,1.5776939,216.48732,0.5508548,-34.17153,1.0761232E-4,0.5022083,50,7.030234;
4513,1.5776939,216.48732,0.55223966,-33.83348,1.2723132E-4,0.50185955,50,7.101589;
4648,1.5776939,216.48732,0.55563325,-33.005077,1.20907396E-4,0.50150704,50,7.247662;
4772,1.5776939,216.48732,0.5590216,-32.17796,1.436897E-4,0.5007973,50,7.265687;
4900,1.5776939,216.48732,0.5607093,-31.765978,1.4577415E-4,0.499925,50,7.3433003;
5031,1.5776939,216.48732,0.5630555,-31.193249,1.21257515E-4,0.49937552,50,7.3882704;
5154,1.5776939,216.48732,0.5665465,-30.341074,1.0335201E-4,0.49702,50,7.410821;
5269,1.5776939,216.48732,0.5690018,-29.741718,9.400335E-5,0.49479988,50,7.4861875;
5387,1.5776939,216.48732,0.571801,-29.05841,1.4178397E-4,0.49342558,50,7.609301;
5506,1.5776939,216.48732,0.5733493,-28.680462,1.3301137E-4,0.4933326,50,7.6988864;
5630,1.5776939,216.48732,0.576053,-28.020462,1.7371707E-4,0.49226412,50,7.7646484;
5748,1.5776939,216.48732,0.57750714,-27.665503,8.614899E-5,0.4912853,50,7.7978754;
5865,1.5776939,216.48732,0.5796559,-27.140978,9.648268E-5,0.4908348,50,7.8651133;
5988,1.5776939,216.48732,0.58310056,-26.300108,1.5174618E-4,0.4907294,50,7.922268;
6108,1.5776939,216.48732,0.5865947,-25.447165,1.5082682E-4,0.48856708,50,7.9428368;
6226,1.8256867,219.66182,0.5891337,-19.68647,2.649003E-4,0.4877323,50,7.948245;
6338,1.8256867,219.66182,0.5920714,-19.117838,1.3954665E-4,0.4862875,50,8.051095;
6453,1.8256867,219.66182,0.59459615,-18.62915,1.0799188E-4,0.48521772,50,8.133975;
6563,1.8256867,219.66182,0.5965761,-18.245909,1.7631208E-4,0.4852122,50,8.195631;
6686,1.8256867,219.66182,0.60064983,-17.457392,1.6245001E-4,0.48289955,50,8.27945;
6796,1.8256867,219.66182,0.6034638,-16.912714,2.6172958E-4,0.48210394,50,8.26557;
6913,1.8256867,219.66182,0.60699093,-16.230005,1.3151972E-4,0.47995996,50,8.346083;
7040,1.8256867,219.66182,0.6089938,-15.842321,1.3648435E-4,0.4788472,50,8.367015;
7165,1.8256867,219.66182,0.61167306,-15.323728,1.4767822E-4,0.47732937,50,8.320898;
7304,1.8256867,219.66182,0.6138685,-14.898781,1.9301282E-4,0.47537893,50,8.171453;
7460,1.8256867,219.66182,0.61764073,-14.168619,1.4096557E-4,0.47442624,50,8.103135;
7589,1.8256867,219.66182,0.6205394,-13.607546,1.15934425E-4,0.47229585,50,7.9532895;
7718,3.6645834,227.02356,0.6251462,-5.0152826,4.5314536E-4,0.47158802,50,7.9976277;
7837,3.6645834,227.02356,0.63339096,-4.3858557,6.492663E-5,0.47035572,50,7.971943;
7986,3.6645834,227.02356,0.6411368,-3.7945158,4.191685E-4,0.46974862,50,8.0331;
8114,8.16191,229.88568,0.65439427,-1.1214561,6.248902E-4,0.46835458,50,7.8920846;
8235,11.83915,230.51956,0.676667,-0.29307443,6.2295364E-4,0.46780246,50,7.8923044;
8375,15.517909,230.84038,0.70910907,0.2844199,5.960837E-4,0.46566936,50,7.9339714;
8510,15.517909,230.84038,0.7457877,0.8554636,5.369731E-5,0.46532175,50,7.842986;
8638,15.517909,230.84038,0.7811707,1.4063369,1.7398846E-4,0.46325037,50,7.8069177;
8774,15.517909,230.84038,0.81727326,1.9684118,2.4023274E-4,0.46136937,50,7.805572;
8900,15.517909,230.84038,0.8528625,2.5224948,1.0044592E-4,0.46124086,50,7.762468;
9029,15.517909,230.84038,0.88834006,3.07484,1.6897843E-4,0.4590025,50,7.784638;
9139,15.517909,230.84038,0.9245722,3.6389332,1.1481115E-4,0.45704198,50,7.768512;
9246,15.517909,230.84038,0.95936173,4.180566,1.00478406E-4,0.45641208,50,7.9198165;
9371,15.517909,230.84038,0.9956436,4.745433,1.06587E-4,0.45531344,50,8.047447;
9515,15.517909,230.84038,1.0322795,5.315811,1.1487769E-4,0.45484895,50,8.045324;
9638,15.924677,230.86638,1.0692837,5.7352467,4.691752E-4,0.45319447,50,7.945439;
9762,29.616743,231.31595,1.1228421,3.454649,0.0013646507,0.45187125,50,7.9478774;
9894,51.297253,231.53085,1.2181758,2.4126267,0.0036010963,0.44982988,50,7.9705133;
10028,51.297253,231.53085,1.3379372,2.9605505,-4.0409117E-4,0.4493086,50,7.9239845;
10141,51.297253,231.53085,1.4598311,3.5182307,2.5853797E-4,0.4475479,50,7.879333;
10257,51.297253,231.53085,1.5796309,4.06633,9.915546E-5,0.44543314,50,7.974636;
10377,51.297253,231.53085,1.6999842,4.616962,2.0160593E-4,0.4453809,50,8.024333;
10480,51.747787,231.53337,1.8207576,5.1239557,4.4512862E-4,0.4441628,50,8.074688;
10608,51.747787,231.53337,1.9418149,5.672927,8.987522E-5,0.44326162,50,8.237837;
10733,51.747787,231.53337,2.0626833,6.2210417,1.2329221E-4,0.44176278,50,8.180645;
10851,51.747787,231.53337,2.184718,6.774445,1.0033269E-4,0.44117603,50,8.178262;
10986,51.747787,231.53337,2.306464,7.32654,1.5311371E-4,0.43968764,50,8.199856;
11110,51.747787,231.53337,2.4287648,7.8811502,7.967005E-5,0.43783045,50,8.127553;
11230,51.747787,231.53337,2.5508611,8.434834,1.85719E-4,0.43723914,50,8.121427;
11340,51.747787,231.53337,2.6739228,8.992895,1.1654947E-4,0.43486854,50,8.143267;
11447,51.747787,231.53337,2.796458,9.548568,1.0644818E-4,0.43338928,50,8.233921;
11541,51.747787,231.53337,2.9174159,10.097088,1.4821457E-4,0.4333264,50,8.3495245;
11662,51.747787,231.53337,3.0390496,10.648674,1.008471E-4,0.43219066,50,8.559844;
11769,51.747787,231.53337,3.162258,11.207399,1.1018684E-4,0.43137714,50,8.542344;
11872,51.747787,231.53337,3.2840736,11.75981,1.0317052E-4,0.42986184,50,8.627598;
11982,52.153854,231.53561,3.4067981,12.21928,2.6109142E-4,0.4293034,50,8.702978;
12114,61.140053,231.57759,3.5394146,10.91273,0.0013843428,0.42706484,50,8.764251;
12233,66.457695,231.597,3.689497,10.559725,3.1561207E-4,0.42625394,50,8.645871;
12341,66.457695,231.597,3.8466227,11.11304,1.6918237E-4,0.42495683,50,8.620483;
12441,66.457695,231.597,4.003618,11.665896,1.7603116E-4,0.42391756,50,8.689587;
12544,66.457695,231.597,4.1603823,12.21794,2.076414E-4,0.4217841,50,8.8080435;
12652,66.5008,231.59715,4.3182178,12.765397,3.979016E-4,0.42170754,50,8.903989;
12775,66.5008,231.59715,4.4754767,13.318819,1.5402565E-4,0.421421,50,8.9404335;
12879,66.5008,231.59715,4.631571,13.868142,1.15629264E-4,0.41952088,50,8.858278;
12985,66.5008,231.59715,4.788058,14.418848,1.8621236E-4,0.417572,50,8.940358;
13086,68.54044,231.60379,4.947102,14.528696,0.0010012041,0.41632995,50,8.984872;
13210,68.54044,231.60379,5.108633,15.08008,-2.9423667E-5,0.41396576,50,9.07156;
13299,78.76362,231.63185,5.281726,13.620563,0.0015545199,0.41296154,50,8.978289;
13418,84.88655,231.64539,5.475819,13.164783,0.0012435289,0.41274574,50,9.197039;
13510,92.23678,231.65926,5.6861706,12.640805,0.0014044091,0.41088086,50,9.111212;
13609,107.57504,231.68205,5.9229755,11.341167,0.0016280746,0.4091347,50,9.3056555;
13717,116.96794,231.69304,6.189644,10.956882,0.0013736882,0.40831858,50,9.374541;
13838,116.96794,231.69304,6.467896,11.511326,-2.2277818E-5,0.4063187,50,9.36302;
13951,116.96794,231.69304,6.745581,12.064638,2.311484E-4,0.4039575,50,9.260742;
14068,125.9605,231.70203,7.0337906,11.732085,0.0012825663,0.40185148,50,9.206901;
14174,139.86017,231.71361,7.3489585,11.085607,0.0014846744,0.40100285,50,9.129554;
14267,148.23724,231.71954,7.691286,10.994101,7.662977E-4,0.40081176,50,9.189988;
14350,148.23724,231.71954,8.04366,11.547499,9.3488285E-5,0.3997603,50,9.343752;
14446,160.91313,231.72733,8.410261,11.164494,0.0011984425,0.39788863,50,9.613392;
14538,172.1552,231.73329,8.804891,10.966102,0.0011356864,0.3962493,50,9.672838;
14625,182.62834,231.73819,9.227087,10.872823,0.001224536,0.39480203,50,9.810413;
14724,190.19048,231.74138,9.668908,10.979385,0.001145093,0.39417428,50,9.986364;
14822,190.19048,231.74138,10.121143,11.53243,1.708885E-4,0.393764,50,9.968761;
14917,190.19048,231.74138,10.572875,12.084858,2.0762274E-4,0.39255276,50,9.999164;
15016,190.19048,231.74138,11.024501,12.6371565,1.6242405E-4,0.39200813,50,10.075418;
15102,190.19048,231.74138,11.47637,13.189753,1.5922215E-4,0.39112005,50,10.063717;
15204,190.19048,231.74138,11.927794,13.741805,1.5029988E-4,0.38914594,50,10.236283;
15289,190.19048,231.74138,12.380098,14.294932,1.715234E-4,0.38831958,50,10.182533;
15376,190.19048,231.74138,12.832922,14.848696,3.5104793E-4,0.38594732,50,10.327805;
15470,193.25558,231.7426,13.289385,15.161755,5.0168106E-4,0.38399103,50,10.4698305;
15546,193.25558,231.7426,13.747564,15.713152,1.8400479E-4,0.3837976,50,10.494841;
15626,193.25558,231.7426,14.20555,16.264317,1.9187732E-4,0.3828188,50,10.767565;
15719,193.25558,231.7426,14.664766,16.816961,1.411305E-4,0.38047677,50,10.90834;
15811,193.25558,231.7426,15.123696,17.36926,1.6154748E-4,0.37890312,50,10.894158;
15907,193.25558,231.7426,15.582727,17.921682,1.07712134E-4,0.37662706,50,10.895797;
15995,193.25558,231.7426,16.042727,18.475271,1.1264443E-4,0.37499782,50,10.854368;
16090,193.25558,231.7426,16.501675,19.027594,1.1720582E-4,0.37469432,50,10.908824;
16172,193.25558,231.7426,16.961123,19.580519,9.089091E-5,0.3732997,50,10.874443;
16273,193.25558,231.7426,17.41935,20.131973,1.2242455E-4,0.37291944,50,10.981118;
16357,193.25558,231.7426,17.87756,20.683407,1.8509716E-4,0.37091964,50,10.863288;
16435,193.25558,231.7426,18.33564,21.234686,1.2428491E-4,0.36970603,50,11.003695;
16509,193.45726,231.74266,18.79598,21.765896,2.2070417E-4,0.36964485,50,11.194276;
16616,193.50163,231.74268,19.25584,22.313602,2.440823E-4,0.36726615,50,11.429651;
16706,196.60548,231.74388,19.719984,22.50923,0.0010967406,0.36655968,50,11.2056055;
16797,196.80836,231.74396,20.187471,23.038363,3.5258156E-4,0.36474672,50,11.203571;
