elapsedTime,eventRecognized,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
6518,0,120.94417,231.81818,0.65534854,1.2561309,0.004038579,0.5068662,238,56.618626
6719,0,365.94717,231.81818,1.233032,0.7810942,5.378603E-4,0.5068764,238,51.35201
6867,0,365.94717,231.81818,2.1022356,1.3317125,2.3307162E-5,0.5058227,237,46.703526
7117,0,365.94717,231.81818,2.9712741,1.8822261,1.1208912E-4,0.50464773,237,42.714985
7304,0,365.94717,231.81818,3.8416917,2.4336133,1.0592896E-4,0.50275874,236,38.83732
7466,1,1024.5769,231.81818,5.4957356,1.2434512,0.0045965062,0.50127864,235,35.51232
7600,0,1794.909,231.81818,8.850772,1.1431051,0.0045001926,0.5006509,235,32.57724
7722,1,1800.229,231.81818,13.129355,1.6906867,-2.4056877E-4,0.5001529,235,30.05612
7865,0,1813.765,231.81818,17.43126,2.2278976,0.00419182,0.49925897,234,27.886194
7985,1,3561.101,231.81819,23.827686,1.5511189,0.0027829234,0.49788162,234,25.790632
8108,1,3561.101,231.81819,32.305447,2.1029983,-2.4228176E-4,0.49577743,233,24.039381
8234,0,3558.6904,231.66125,40.783226,2.6548793,0.0019578596,0.49440268,232,22.463428
8361,1,3558.6904,231.66125,49.255905,3.206428,-1.7834886E-4,0.49254522,231,21.000252
8478,0,3555.8738,231.47789,57.709507,3.7567348,0.0049390653,0.49156457,231,19.689817
8594,0,3555.8738,231.47789,66.17376,4.3077354,-7.641865E-4,0.49076027,230,18.588007
