elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
25092,804.4143,230.68999,614.50287,176.19637,5.85754E-5,0.013984161,50,61.842186;
25109,804.4143,230.68999,616.4165,176.74547,2.9934841E-5,0.012101931,50,61.865627;
25123,804.4143,230.68999,618.3311,177.29486,4.34427E-5,0.009811282,50,61.82008;
25140,804.4143,230.68999,620.2451,177.84406,4.0909974E-5,0.0074715684,50,61.79379;
25157,804.4143,230.68999,622.15894,178.3932,4.0143772E-5,0.005986393,50,61.77916;
25174,804.4143,230.68999,624.07294,178.94241,4.0287436E-5,0.0053105312,50,61.40578;
25195,804.4143,230.68999,625.9872,179.4917,4.02605E-5,0.0044403668,50,61.571606;
25208,804.4143,230.68999,627.9004,180.04068,3.8067803E-5,0.0031419194,50,61.552475;
25222,804.4143,230.68999,629.81445,180.5899,1.7941513E-4,0.0029780199,50,62.520508;
25240,804.4143,230.68999,631.7293,181.13934,1.5291251E-4,7.569264E-4,50,61.7296;
25257,804.4143,230.68999,633.6434,181.68858,6.25597E-5,7.5735635E-4,50,62.166164;
25273,804.4143,230.68999,635.55743,182.23781,5.1433024E-5,7.5743225E-4,50,62.03721;
25289,804.4143,230.68999,637.4715,182.78703,4.9024857E-5,7.5749593E-4,50,62.358337;
25305,806.1548,231.18939,639.38794,183.33694,4.1892912E-4,7.587295E-4,50,62.5217;
25321,806.8714,231.39503,641.3071,183.88763,3.4957207E-4,7.6061476E-4,50,62.033394;
25338,810.32855,231.80634,643.2316,183.97899,4.4048496E-4,7.6259143E-4,50,61.89499;
25355,813.3762,231.8064,645.1625,183.83986,4.234388E-4,7.6473353E-4,50,61.555676;
25373,816.0381,231.80643,647.10156,183.79102,4.2663497E-4,7.6686667E-4,50,61.8987;
25383,819.49524,231.80649,649.0479,183.56615,4.317888E-4,7.6903554E-4,50,62.108337;
25402,822.7476,231.80653,651.0014,183.39082,4.3583603E-4,7.7122316E-4,50,61.85896;
25424,825.9762,231.80656,652.96204,183.22417,4.3507715E-4,7.734044E-4,50,61.86259;
25439,827.89764,231.8066,654.9298,183.34998,3.760642E-4,7.754189E-4,50,61.66434;
25448,829.43335,231.80663,656.9018,183.56177,3.8712914E-4,7.7699526E-4,50,61.66036;
25467,830.5595,231.80664,658.87695,183.8643,3.8505445E-4,7.786837E-4,50,61.84214;
25481,830.5595,231.80664,660.8533,184.41618,1.4140077E-4,7.795341E-4,50,61.61777;
25501,830.5595,231.80664,662.8295,184.96806,2.2075378E-4,7.793519E-4,50,61.475304;
25514,830.5595,231.80664,664.80273,185.51909,2.058751E-4,7.7824225E-4,50,61.553818;
25530,830.5595,231.80664,666.7703,186.06854,1.3554093E-4,7.7688537E-4,50,61.310123;
25545,830.5595,231.80664,668.73474,186.6171,1.1587233E-4,7.760569E-4,50,61.37951;
25561,830.5595,231.80664,670.69836,187.16544,1.0387561E-4,7.759113E-4,50,61.478603;
25579,830.5595,231.80664,672.66205,187.71379,1.0721662E-4,7.761295E-4,50,61.060932;
25605,830.5595,231.80664,674.62573,188.26215,1.0659018E-4,7.76351E-4,50,61.098705;
25611,830.5595,231.80664,676.5894,188.81052,1.0670764E-4,7.766485E-4,50,61.110405;
25626,830.5595,231.80664,678.5531,189.35887,6.4108564E-5,7.768034E-4,50,61.64371;
25643,830.5595,231.80664,680.5167,189.90721,7.209589E-5,7.7691517E-4,50,61.48909;
25658,830.5595,231.80664,682.4804,190.45557,3.2872373E-5,7.763718E-4,50,61.782497;
25675,830.5595,231.80664,684.4426,191.00351,3.9119273E-5,7.750933E-4,50,61.5195;
25691,830.5595,231.80664,686.40344,191.55109,3.794798E-5,7.746349E-4,50,61.67786;
25708,830.5595,231.80664,688.3642,192.09862,3.8167596E-5,7.7467324E-4,50,61.532536;
25725,830.5595,231.80664,690.32495,192.64615,4.410317E-5,7.7456614E-4,50,61.687336;
