elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
41254,487.8119,14.433959,740.8316,21.920675,4.017233E-5,1.8298102E-4,50,59.556923;
41272,487.8119,14.433959,739.69116,21.88693,3.8315513E-5,1.8176348E-4,50,59.554512;
41289,487.8119,14.433959,738.55975,21.853455,3.8663668E-5,1.8059263E-4,50,59.548065;
41307,487.8119,14.433959,737.4384,21.820274,6.423163E-5,1.794294E-4,50,59.294952;
41321,487.8119,14.433959,736.3223,21.787249,1.3937644E-4,1.7911453E-4,50,60.620255;
41337,487.8119,14.433959,735.2063,21.754227,1.252868E-4,1.792688E-4,50,60.702667;
41353,487.8119,14.433959,734.09033,21.721207,1.5510424E-4,1.7942594E-4,50,60.739433;
41368,487.8119,14.433959,732.98004,21.688353,9.444319E-5,1.7938566E-4,50,60.917404;
41383,487.8119,14.433959,731.8822,21.655869,1.0581713E-4,1.7918352E-4,50,61.239895;
41408,487.8119,14.433959,730.79083,21.623575,5.7645047E-5,1.791565E-4,50,60.503067;
41421,487.8119,14.433959,729.70624,21.591482,6.2348E-5,1.7896036E-4,50,59.50722;
41437,487.8119,14.433959,728.6359,21.55981,6.146619E-5,1.7861227E-4,50,59.71924;
41454,487.8119,14.433959,727.5731,21.528364,6.163153E-5,1.7829124E-4,50,59.61487;
41469,487.8119,14.433959,726.5103,21.496918,6.5504544E-5,1.7814913E-4,50,60.11393;
41486,487.8119,14.433959,725.4476,21.46547,5.1329043E-5,1.7806962E-4,50,60.11297;
41502,487.8119,14.433959,724.38477,21.434023,5.398695E-5,1.778953E-4,50,60.466423;
41521,487.8119,14.433959,723.32196,21.402576,4.1519543E-5,1.7783274E-4,50,60.234898;
41535,487.8119,14.433959,722.25916,21.371126,4.385718E-5,1.7784837E-4,50,60.548897;
41558,487.8119,14.433959,721.19635,21.33968,4.768034E-5,1.7786286E-4,50,60.174667;
41584,487.8119,14.433959,720.13354,21.308231,3.7437545E-5,1.7781758E-4,50,59.796013;
41606,487.8119,14.433959,719.07074,21.276783,4.7590307E-5,1.77757E-4,50,58.45693;
41616,487.8119,14.433959,718.00793,21.245337,4.3242693E-5,1.7771115E-4,50,57.340668;
41636,487.8119,14.433959,716.9452,21.21389,4.4057873E-5,1.7772171E-4,50,57.884003;
41650,487.8119,14.433959,715.8824,21.182442,3.810296E-5,1.7775205E-4,50,58.85993;
41667,487.8119,14.433959,714.8196,21.150993,4.229538E-5,1.7777961E-4,50,59.137962;
41679,487.8119,14.433959,713.7568,21.119547,4.15093E-5,1.7780653E-4,50,59.678413;
41701,487.8119,14.433959,712.694,21.088099,4.165669E-5,1.7782439E-4,50,59.835117;
41715,487.8119,14.433959,711.63116,21.05665,4.113018E-5,1.7781158E-4,50,59.97035;
41728,487.8119,14.433959,710.56836,21.025204,4.12289E-5,1.7780802E-4,50,60.21992;
41739,487.8119,14.433959,709.50555,20.993755,4.61782E-5,1.7783933E-4,50,60.638367;
41766,487.8119,14.433959,708.4428,20.962309,4.5250206E-5,1.77767E-4,50,60.534107;
41773,487.8119,14.433959,707.38,20.93086,4.5424204E-5,1.7764264E-4,50,60.43853;
41793,487.8119,14.433959,706.3172,20.899412,4.4715132E-5,1.7753351E-4,50,60.287292;
41809,487.8119,14.433959,705.2544,20.867966,4.484808E-5,1.7745818E-4,50,59.9833;
41824,487.8119,14.433959,704.1916,20.836517,9.935135E-5,1.7758977E-4,50,60.399822;
41840,487.8119,14.433959,703.1288,20.805069,1.7951435E-4,1.7810786E-4,50,60.563576;
41866,487.8119,14.433959,702.066,20.773623,1.6448379E-4,1.7876868E-4,50,60.285038;
41872,487.8119,14.433959,701.0032,20.742172,4.9667644E-5,1.7904668E-4,50,60.63063;
41888,487.8119,14.433959,699.9404,20.710728,5.8538735E-5,1.7908918E-4,50,60.73002;
41904,487.8119,14.433959,698.8776,20.679281,5.6875408E-5,1.791714E-4,50,60.893623;
41921,487.8119,14.433959,697.8148,20.647831,1.7547733E-4,1.796385E-4,50,61.03749;
41936,487.8119,14.433959,696.752,20.616385,6.4314336E-5,1.8003095E-4,50,61.24811;
41958,487.8119,14.433959,695.6892,20.584938,8.51574E-5,1.8024445E-4,50,60.98968;
41969,487.8119,14.433959,694.6264,20.553488,9.6214746E-5,1.8055264E-4,50,61.369434;
41985,487.8119,14.433959,693.5636,20.522041,8.1666185E-5,1.8083873E-4,50,61.15515;
42002,487.8119,14.433959,692.5008,20.490593,8.4394036E-5,1.810801E-4,50,61.043934;
42018,487.8119,14.433959,691.43805,20.459146,7.83896E-5,1.8126547E-4,50,61.373722;
